scope,model_1,model_2,b,c,p_raw,p_adj_bh,significant
overall,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF100-AIF0__15,17,77,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF100-AIF0__15,1,15,0.000519,0.001311,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF100-AIF0__15,11,1,0.006348,0.013456,True
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF100-AIF0__15,5,10,0.301758,0.42666,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF100-AIF0__15,0,51,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF33-AIF67__11,36,101,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF33-AIF67__11,0,18,8e-06,2.6e-05,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF33-AIF67__11,5,1,0.21875,0.329033,False
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF33-AIF67__11,31,1,0.0,1e-06,True
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF33-AIF67__11,0,81,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF50-AIF50__12,38,108,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF50-AIF50__12,0,17,1.5e-05,4.9e-05,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF50-AIF50__12,24,1,1.1e-05,3.7e-05,True
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF50-AIF50__12,14,8,0.286279,0.407498,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF50-AIF50__12,0,82,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF67-AIF33__14,22,108,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF67-AIF33__14,0,18,8e-06,2.6e-05,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF67-AIF33__14,14,1,0.000977,0.002384,True
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF67-AIF33__14,8,8,1.0,1.0,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR100-AIR0-HF67-AIF33__14,0,81,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF0-AIF100__5,69,104,0.009739,0.019759,True
HR,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF0-AIF100__5,0,19,4e-06,1.4e-05,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF0-AIF100__5,1,4,0.375,0.516873,False
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF0-AIF100__5,68,0,0.0,0.0,True
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF0-AIF100__5,0,81,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF100-AIF0__8,16,48,0.000107,0.000307,True
HR,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF100-AIF0__8,7,8,1.0,1.0,False
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF100-AIF0__8,9,0,0.003906,0.008678,True
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF100-AIF0__8,0,11,0.000977,0.002384,True
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF100-AIF0__8,0,29,0.0,1e-06,True
overall,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF100-AIF0__9,16,48,0.000107,0.000307,True
HR,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF100-AIF0__9,7,8,1.0,1.0,False
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF100-AIF0__9,9,0,0.003906,0.008678,True
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF100-AIF0__9,0,11,0.000977,0.002384,True
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF100-AIF0__9,0,29,0.0,1e-06,True
overall,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF33-AIF67__5,14,108,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF33-AIF67__5,0,16,3.1e-05,9.5e-05,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF33-AIF67__5,8,1,0.039062,0.068297,False
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF33-AIF67__5,6,9,0.607239,0.772365,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF33-AIF67__5,0,82,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF50-AIF50__7,15,104,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF50-AIF50__7,0,16,3.1e-05,9.5e-05,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF50-AIF50__7,4,2,0.6875,0.846723,False
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF50-AIF50__7,11,7,0.480682,0.645759,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR50-AIR50-HF50-AIF50__7,0,79,0.0,0.0,True
